ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
V8,El Poal - el Poal,EL_POAL___EL_POAL_V8,2026-02-07,2026-02-07 17:59:13,https://www.meteo.cat/observacions/xema/dades?codi=V8&dia=2026-02-07T09:00Z,,80%,0.0 mm,,12.1 MJ/m2,36.4 km/h - 243º 11:18 TU,13.0 °C 14:32 TU,3.1 °C 7:11 TU,8.0 °C
CT,El Pont de Suert - el Pont de Suert,EL_PONT_DE_SUERT___EL_PONT_DE_SUERT_CT,2026-02-07,2026-02-07 17:59:15,https://www.meteo.cat/observacions/xema/dades?codi=CT&dia=2026-02-07T09:00Z,,83%,0.1 mm,1006.8 hPa,7.0 MJ/m2,19.1 km/h - 135º 13:09 TU,9.8 °C 14:14 TU,1.7 °C 7:30 TU,4.4 °C
XL,El Prat de Llobregat - el Prat de Llobregat,EL_PRAT_DE_LLOBREGAT___EL_PRAT_DE_LLOBREGAT_XL,2026-02-07,2026-02-07 17:59:18,https://www.meteo.cat/observacions/xema/dades?codi=XL&dia=2026-02-07T09:00Z,,56%,0.0 mm,,12.4 MJ/m2,45.4 km/h - 305º 10:39 TU,16.7 °C 12:38 TU,7.0 °C 5:00 TU,12.4 °C
Y7,El Prat de Llobregat - Port de Barcelona - Bocana Sud,EL_PRAT_DE_LLOBREGAT___PORT_DE_BARCELONA___BOCANA_,2026-02-07,2026-02-07 17:59:20,https://www.meteo.cat/observacions/xema/dades?codi=Y7&dia=2026-02-07T09:00Z,,,,,,,,,
YQ,El Prat de Llobregat - Port de Barcelona - Zal Prat,EL_PRAT_DE_LLOBREGAT___PORT_DE_BARCELONA___ZAL_PRA,2026-02-07,2026-02-07 17:59:23,https://www.meteo.cat/observacions/xema/dades?codi=YQ&dia=2026-02-07T09:00Z,,51%,0.0 mm,1005.3 hPa,12.6 MJ/m2,40.3 km/h - 298º 11:53 TU,16.5 °C 15:11 TU,9.7 °C 5:02 TU,13.0 °C
D9,El Vendrell - el Vendrell,EL_VENDRELL___EL_VENDRELL_D9,2026-02-07,2026-02-07 17:59:25,https://www.meteo.cat/observacions/xema/dades?codi=D9&dia=2026-02-07T09:00Z,,54%,0.0 mm,1006.3 hPa,12.1 MJ/m2,40.7 km/h - 310º 13:25 TU,16.0 °C 14:53 TU,7.4 °C 1:44 TU,12.0 °C
XM,Els Alamús - els Alamús,ELS_ALAMUS___ELS_ALAMUS_XM,2026-02-07,2026-02-07 17:59:27,https://www.meteo.cat/observacions/xema/dades?codi=XM&dia=2026-02-07T09:00Z,,78%,0.1 mm,,,34.2 km/h - 269º 13:31 TU,13.1 °C 13:28 TU,3.6 °C 7:19 TU,8.1 °C
CE,Els Hostalets de Pierola - els Hostalets de Pierola,ELS_HOSTALETS_DE_PIEROLA___ELS_HOSTALETS_DE_PIEROL,2026-02-07,2026-02-07 17:59:30,https://www.meteo.cat/observacions/xema/dades?codi=CE&dia=2026-02-07T09:00Z,,63%,0.0 mm,1005.6 hPa,12.3 MJ/m2,51.5 km/h - 275º 10:22 TU,12.8 °C 14:31 TU,7.1 °C 2:01 TU,9.5 °C
VD,Els Plans de Sió - el Canós,ELS_PLANS_DE_SIO___EL_CANOS_VD,2026-02-07,2026-02-07 17:59:32,https://www.meteo.cat/observacions/xema/dades?codi=VD&dia=2026-02-07T09:00Z,,81%,0.0 mm,,12.4 MJ/m2,39.2 km/h - 294º 11:44 TU,11.5 °C 14:29 TU,2.6 °C 7:34 TU,7.0 °C
VZ,Espolla,ESPOLLA_VZ,2026-02-07,2026-02-07 17:59:35,https://www.meteo.cat/observacions/xema/dades?codi=VZ&dia=2026-02-07T09:00Z,,67%,0.0 mm,,,,15.9 °C 12:57 TU,6.0 °C 2:57 TU,11.5 °C
